"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Code With Andrea","03/01/2019 23:00","04/01/2019 00:30","1.5","","Blogging","","","",""
"Code With Andrea","04/01/2019 10:25","04/01/2019 10:55","0.5","","Blogging","","","",""
"Code With Andrea","04/01/2019 16:00","04/01/2019 16:30","0.5","","Blogging","","","",""
"Code With Andrea","05/01/2019 23:30","06/01/2019 02:10","2.67","","Blogging","","","",""
"Code With Andrea","07/01/2019 09:55","07/01/2019 12:45","2.83","","Flutter Firebase Course","","","",""
"Code With Andrea","07/01/2019 13:30","07/01/2019 16:45","3.25","","Flutter Firebase Course","","","",""
"Code With Andrea","07/01/2019 22:00","07/01/2019 23:00","1","","","","","",""
"Code With Andrea","08/01/2019 08:50","08/01/2019 10:45","1.92","","Flutter Firebase Course","","","",""
"Code With Andrea","08/01/2019 14:00","08/01/2019 15:55","1.92","","Flutter Firebase Course","","","",""
"Code With Andrea","08/01/2019 16:05","08/01/2019 16:50","0.75","","Flutter Firebase Course","","","",""
"Code With Andrea","08/01/2019 17:15","08/01/2019 17:55","0.67","","Flutter Firebase Course","","","",""
"Code With Andrea","09/01/2019 11:00","09/01/2019 11:45","0.75","","Flutter Firebase Course","","","",""
"Code With Andrea","09/01/2019 13:45","09/01/2019 15:45","2","","Flutter Firebase Course","","","",""
"Code With Andrea","09/01/2019 21:00","09/01/2019 22:00","1","","Flutter Firebase Course","","","",""
"Code With Andrea","10/01/2019 09:00","10/01/2019 11:10","2.17","","Flutter Firebase Course","","","",""
"Code With Andrea","10/01/2019 11:30","10/01/2019 12:25","0.92","","Flutter Firebase Course","","","",""
"Code With Andrea","10/01/2019 13:00","10/01/2019 13:35","0.58","","Flutter Firebase Course","","","",""
"Code With Andrea","11/01/2019 08:45","11/01/2019 11:15","2.5","","YouTube Production","","","",""
"Code With Andrea","11/01/2019 11:30","11/01/2019 12:30","1","","Flutter Firebase Course","","","",""
"Code With Andrea","11/01/2019 13:30","11/01/2019 14:45","1.25","","","","","",""
"Code With Andrea","16/01/2019 11:00","16/01/2019 12:35","1.58","","Flutter Firebase Course","","","",""
"Code With Andrea","16/01/2019 14:20","16/01/2019 18:00","3.67","","Flutter Firebase Course","","","",""
"Code With Andrea","18/01/2019 10:50","18/01/2019 11:20","0.5","","YouTube Production","","","",""
"Code With Andrea","18/01/2019 11:20","18/01/2019 12:10","0.83","","Flutter Firebase Course","","","",""
"Code With Andrea","18/01/2019 13:00","18/01/2019 14:25","1.42","","","","","",""
"Code With Andrea","19/01/2019 21:00","19/01/2019 22:00","1","","","","","",""
"Code With Andrea","19/01/2019 22:00","19/01/2019 23:00","1","","Community engagement","","","",""
"Code With Andrea","20/01/2019 21:00","20/01/2019 22:00","1","","Flutter Firebase Course","","","",""
"Code With Andrea","20/01/2019 22:00","20/01/2019 23:00","1","","","","","",""
"Code With Andrea","25/01/2019 08:25","25/01/2019 08:45","0.33","","YouTube Production","","","",""
"Code With Andrea","25/01/2019 10:45","25/01/2019 12:00","1.25","","Flutter Firebase Course","","","",""
"Code With Andrea","25/01/2019 13:00","25/01/2019 15:00","2","","Flutter Firebase Course","","","",""
"Code With Andrea","25/01/2019 15:00","25/01/2019 17:30","2.5","","Flutter Firebase Course","","","",""
"Code With Andrea","25/01/2019 20:40","25/01/2019 22:40","2","","Flutter Firebase Course","","","",""
"Code With Andrea","26/01/2019 20:20","26/01/2019 22:25","2.08","","Flutter Firebase Course","","","",""
"Code With Andrea","28/01/2019 08:15","28/01/2019 09:10","0.92","","Flutter Firebase Course","","","",""
"Code With Andrea","28/01/2019 09:40","28/01/2019 11:10","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","28/01/2019 11:10","28/01/2019 12:10","1","","Flutter Firebase Course","","","",""
"Code With Andrea","28/01/2019 14:05","28/01/2019 16:45","2.67","","Flutter Firebase Course","","","",""
"Code With Andrea","28/01/2019 16:45","28/01/2019 17:15","0.5","","Flutter Firebase Course","","","",""
